,Trends data
6580,True
6598,True
6620,False
6622,True
6639,True
6643,False
6657,True
6658,False
6661,True
6663,True
6664,False
6669,False
6680,False
6682,False
6685,True
6698,False
6701,True
6715,False
6746,False
6750,True
6751,True
6756,True
6759,False
6761,True
6763,False
6773,True
6780,False
6808,False
6816,True
6837,False
6844,True
6847,True
6850,True
6852,False
6864,False
6869,True
6873,False
6875,True
6877,False
6886,False
6891,False
6898,True
6899,True
6910,False
6921,False
6934,
6946,
6957,
6966,
6968,
6985,
7001,
7002,
7006,
7026,
7027,
7032,
7034,
7047,
7053,
7067,
7068,
7080,
7086,
7089,
7093,
7096,
7097,
7120,
7122,
7123,
7140,
7141,
7144,
7145,
7146,
7149,
7155,
7159,
7160,
7172,
7174,
7175,
7177,
7180,
7195,
7205,
7222,
7251,
7271,
7289,
7294,
7295,
7297,
7312,
7320,
7334,
7335,
7342,
7343,
7353,
7366,
7368,
7373,
7383,
7404,
7437,
7442,
7443,
7445,
7446,
7447,
7448,
7457,
7458,
7460,
7473,
7480,
7482,
7484,
7490,
7494,
7497,
7498,
7501,
7502,
7524,
7530,
7535,
7548,
7551,
7578,
7580,
7599,
7611,
7620,
7624,
7632,
7639,
7652,
7658,
7659,
7660,
7666,
7668,
7686,
7694,
7706,
7720,
7726,
7728,
7730,
7731,
7732,
7733,
7747,
7803,
7810,
7818,
7835,
7838,
7841,
7842,
7852,
7855,
7856,
7857,
7871,
7900,
7902,
7929,
7936,
7954,
7955,
8000,
8002,
8013,
8016,
8020,
8029,
8042,
8044,
8047,
8051,
8052,
8063,
8069,
8094,
8097,
8102,
8116,
8120,
8134,
8156,
8161,
8173,
8176,
8177,
8181,
8184,
8186,
8190,
8205,
8207,
8208,
8218,
8241,
8253,
8305,
8307,
8309,
8319,
8320,
8343,
8348,
8361,
8362,
8367,
8390,
8392,
8418,
8435,
8449,
8450,
8451,
8461,
8468,
8481,
8510,
8512,
8526,
8527,
8532,
8536,
8538,
8544,
8548,
8552,
8558,
8563,
8566,
8572,
8579,
8588,
8595,
8597,
8605,
8606,
8607,
8620,
8627,
8628,
8630,
8632,
8635,
8636,
8646,
8647,
8655,
8668,
8670,
8678,
8687,
8693,
8704,
8723,
8737,
8740,
8745,
8748,
8752,
8760,
8777,
8784,
8785,
8793,
8794,
8797,
8803,
8809,
8812,
8819,
8820,
8828,
8837,
8846,
8852,
8853,
8854,
8874,
8884,
8888,
8889,
8894,
8898,
8909,
8918,
8921,
8934,
8944,
8945,
8955,
8956,
8972,
8979,
8983,
8990,
8998,
9000,
9017,
9024,
9027,
9040,
9044,
9050,
9056,
9090,
9095,
9106,
9113,
9119,
9121,
9125,
9128,
9153,
9167,
9181,
9195,
9197,
9200,
9202,
9237,
9267,
9277,
9289,
9293,
9294,
9295,
9301,
9308,
9314,
9357,
9362,
9408,
9418,
9424,
9428,
9432,
9437,
9444,
9447,
9456,
9462,
9463,
9467,
9471,
9485,
9495,
9499,
9501,
9505,
9508,
9513,
9518,
9528,
9537,
9551,
9558,
9569,
9582,
9584,
9591,
9596,
9600,
9601,
9605,
9607,
9612,
9614,
9621,
9641,
9645,
9646,
9649,
9661,
9669,
9682,
9693,
9696,
9698,
9699,
9700,
9705,
9726,
9727,
9729,
9740,
9757,
9768,
9781,
9782,
9799,
9808,
9810,
9811,
9814,
9827,
9831,
9836,
9838,
9850,
9859,
9861,
9862,
9867,
9876,
9886,
9888,
9893,
9911,
9917,
9922,
9925,
9934,
9945,
9952,
9957,
9975,
9986,
9991,
9994,
9995,
9996,
10000,
10013,
10016,
10018,
10019,
10020,
10027,
10032,
10082,
10084,
10088,
10094,
10101,
10107,
10116,
10117,
10120,
10133,
10138,
10139,
10145,
10149,
10152,
10161,
10169,
10173,
10184,
10190,
10198,
10223,
10266,
10276,
10319,
10338,
10340,
10351,
10358,
10378,
10395,
10401,
10415,
10416,
10419,
10426,
10429,
10434,
10450,
10451,
10454,
10460,
10463,
10471,
10500,
10511,
10541,
10552,
10559,
10566,
10579,
10603,
10608,
10610,
10615,
10618,
10621,
10657,
10663,
10666,
10689,
10694,
10701,
10711,
10727,
10729,
10736,
10739,
10751,
10754,
10778,
10812,
10815,
10819,
10820,
10821,
10834,
10841,
10870,
10876,
10881,
10885,
10910,
10930,
10960,
10967,
10973,
10975,
10980,
10982,
10984,
10995,
11002,
11006,
11026,
11029,
11031,
11046,
11065,
11072,
11076,
11079,
11084,
11090,
11091,
11092,
11094,
11095,
11102,
11103,
11105,
11125,
11132,
11142,
11158,
11160,
11165,
11172,
11174,
11175,
11193,
11204,
11207,
11210,
11213,
11216,
11225,
11229,
11245,
11250,
11257,
11259,
11265,
11266,
11280,
11290,
11294,
11295,
11298,
11319,
11322,
11340,
11347,
11363,
11366,
11369,
11400,
11409,
11426,
11428,
11430,
11434,
11437,
11443,
11454,
11456,
11463,
11473,
11485,
11488,
11491,
11507,
11511,
11515,
11518,
11585,
11596,
11618,
11632,
11638,
11654,
11655,
