geoName,Julie Andrews,Tyrese Gibson,Billy Bob Thornton,Peggy Lipton,Patrick Dempsey,Shirley MacLaine,Tony Curtis,Stephen Collins,Dustin Hoffman,John Travolta
Georgia,9.365970179922174,7.925051690703379,6.484133201484582,2.161377733828194,10.086429424531572,3.0493856399746617,2.580249387670867,1.8765450092151765,5.864203153797426,33.230484538185415
Hawaii,12.608036780664467,4.682985089961087,5.763673956875184,2.521607356132893,10.44665904683627,5.223329523418135,3.3798014563293823,2.7652921006331304,8.910385657595643,31.591367331475457
Idaho,14.409184892187959,2.161377733828194,6.844362823789281,2.161377733828194,10.44665904683627,4.285808839727701,3.214356629795776,1.607178314897888,7.232302417040495,30.832447146330537
Illinois,11.16711829144567,5.403444334570485,6.484133201484582,2.161377733828194,10.80688866914097,3.9814852991571996,3.1283098779092278,1.9907426495785998,8.531754212479715,36.3722153268872
Indiana,12.247807158359766,4.682985089961087,6.844362823789281,2.161377733828194,10.086429424531572,4.396648723513763,3.1035167460097144,2.069011164006476,6.207033492019429,35.1731897881101
Iowa,11.527347913750368,3.242066600742291,7.564822068398678,2.521607356132893,11.16711829144567,4.187669359292126,3.070957530147559,2.5126016155752757,6.979448932153544,34.07613302169083
Kansas,11.527347913750368,4.322755467656388,7.564822068398678,2.161377733828194,10.44665904683627,3.7500827347617385,3.214356629795776,2.1429044198638505,7.232302417040495,35.31065297731536
Kentucky,10.086429424531572,4.322755467656388,9.005740557617475,1.8011481115234949,10.80688866914097,4.322755467656388,2.971894384013767,2.7017221672852423,6.213960984756057,35.212445580284324
Louisiana,9.005740557617475,7.204592446093979,7.564822068398678,2.161377733828194,10.086429424531572,4.396648723513763,3.1035167460097144,2.069011164006476,6.207033492019429,38.12892002240506
Maine,7.564822068398678,1.440918489218796,3.9625258453516894,1.440918489218796,21.61377733828194,2.74460664613104,2.40153081536466,2.05845498459828,5.48921329226208,20.649897623271634
Maryland,11.527347913750368,5.763673956875184,5.403444334570485,3.242066600742291,10.086429424531572,3.9814852991571996,3.1851882393257593,2.123458826217173,7.166673538482959,32.648179453089035
Massachusetts,12.608036780664467,3.242066600742291,5.043214712265786,2.521607356132893,12.608036780664467,3.9976701987472696,3.382644014324613,2.4601047376906275,8.302853489705866,33.211413958823464
Michigan,11.887577536055067,4.682985089961087,6.123903579179883,2.161377733828194,11.16711829144567,3.8131623434204722,2.996056126973228,1.9065811717102361,7.353955948025197,33.501354874337004
Minnesota,13.328496025273864,3.6022962230469897,6.123903579179883,2.161377733828194,10.80688866914097,4.2658771062398575,3.412701684991885,2.275134456661257,7.678578791231742,32.73499379419849
Mississippi,8.645510935312776,9.365970179922174,7.564822068398678,1.080688866914097,9.365970179922174,3.049385639974661,2.395945859980091,1.9603193399837109,5.009704979958372,28.38832821976411
Missouri,11.527347913750368,4.682985089961087,6.844362823789281,2.161377733828194,10.80688866914097,4.322755467656388,3.5122388174708155,1.8912055170996696,6.484133201484582,36.743421475079295
Montana,12.608036780664467,2.161377733828194,9.365970179922174,1.440918489218796,10.44665904683627,5.671043482568262,2.6862837549007557,2.0893318093672546,8.954279183002518,33.685145497961855
Nebraska,11.887577536055067,3.242066600742291,7.204592446093979,2.161377733828194,11.527347913750368,4.217322407469647,3.373857925975718,2.249238617317145,6.747715851951436,32.94473033599819
Nevada,10.086429424531572,6.484133201484582,7.204592446093979,2.521607356132893,9.726199802226873,4.863099901113436,4.863099901113436,2.002452900458474,7.151617501637407,37.54599188359638
New Hampshire,13.328496025273864,1.440918489218796,5.763673956875184,2.521607356132893,12.968266402969164,4.428188527843129,3.1629918056022355,2.8466926250420115,8.223778694565812,29.157033553460604
New Jersey,11.887577536055067,3.9625258453516894,5.043214712265786,3.242066600742291,11.887577536055067,3.9625258453516894,3.352906484528353,2.1336677628816787,9.14429041235005,36.5771616494002
New Mexico,10.80688866914097,3.9625258453516894,7.925051690703379,2.161377733828194,11.16711829144567,8.798335623563256,3.3839752398320213,2.030385143899213,8.459938099580052,41.304403662655545
New York,11.527347913750368,5.043214712265786,5.043214712265786,3.6022962230469897,10.80688866914097,4.6315237153461295,3.7052189722769038,1.8526094861384519,9.880583926071743,37.16981572188894
North Carolina,10.44665904683627,6.123903579179883,7.204592446093979,2.161377733828194,10.086429424531572,3.2839537661265585,2.580249387670867,1.8765450092151765,5.629635027645529,31.901265156658
North Dakota,10.80688866914097,3.9625258453516894,7.564822068398678,1.440918489218796,12.247807158359766,3.3403110431890273,2.7835925359908558,1.948514775193599,7.515699847175311,34.23818819268753
Ohio,11.887577536055067,3.9625258453516894,6.484133201484582,2.521607356132893,11.16711829144567,3.5407936046047244,2.996056126973228,2.178949910525984,7.353955948025197,38.608268727132284
Oklahoma,10.086429424531572,4.322755467656388,9.005740557617475,1.8011481115234949,10.80688866914097,4.550268913322514,3.412701684991885,2.5595262637439142,7.109795177066427,37.326424679598745
Oregon,13.328496025273864,2.881836978437592,7.204592446093979,3.242066600742291,9.365970179922174,5.392528285409737,3.4058073381535174,2.2705382254356787,7.946883789024875,33.878820363737624
Pennsylvania,11.887577536055067,3.6022962230469897,6.123903579179883,2.521607356132893,11.887577536055067,3.6794882849694255,2.8303756038226346,2.264300483058108,7.642014130321114,34.81361992701841
Rhode Island,12.247807158359766,3.242066600742291,5.403444334570485,3.6022962230469897,11.527347913750368,4.217322407469647,2.249238617317145,1.9680837901525021,8.153489987774652,28.907828138473768
South Carolina,10.086429424531572,6.844362823789281,7.204592446093979,2.161377733828194,9.726199802226873,3.6473249258350777,2.9178599406680625,1.9452399604453747,6.078874876391796,31.914093101056928
South Dakota,12.247807158359766,3.6022962230469897,7.564822068398678,1.440918489218796,11.16711829144567,3.268424865788977,3.268424865788977,1.9065811717102361,7.6263246868409444,34.74214579560875
Tennessee,10.44665904683627,4.322755467656388,8.285281313008078,1.8011481115234949,11.16711829144567,3.6414516167757616,2.427634411183841,1.9421075289470728,5.098032263486067,28.888849493087708
Texas,9.726199802226873,5.403444334570485,7.564822068398678,1.8011481115234949,11.527347913750368,3.9297776978694436,2.881836978437592,1.5719110791477773,6.287644316591109,35.629984460682955
Utah,16.210333003711455,2.161377733828194,5.403444334570485,1.8011481115234949,10.44665904683627,3.482219682278757,2.9847597276675057,1.2436498865281276,6.71570938725189,32.78846347893569
Vermont,12.608036780664467,1.8011481115234949,6.844362823789281,3.242066600742291,11.527347913750368,5.156971435098848,2.730161347993508,2.123458826217173,8.79718656575686,29.45145067666427
Virginia,12.247807158359766,4.322755467656388,6.484133201484582,2.161377733828194,10.80688866914097,3.6901571065359415,3.1629918056022355,2.1086612037348234,6.589566261671323,30.019135192058254
Washington,13.328496025273864,2.881836978437592,6.484133201484582,2.521607356132893,10.80688866914097,4.6732491542231225,3.212858793528397,2.044546504972616,8.47026409202941,33.88105636811764
West Virginia,9.365970179922174,3.6022962230469897,9.005740557617475,2.161377733828194,11.887577536055067,4.146829373042466,2.764552915361644,2.211642332289315,6.634926996867945,32.39405533764938
Wisconsin,12.968266402969164,3.242066600742291,6.123903579179883,2.161377733828194,11.527347913750368,4.322755467656388,3.4582043741251107,2.305469582750074,7.204592446093979,35.17536311916473
Wyoming,13.688725647578561,2.521607356132893,6.484133201484582,1.8011481115234949,11.527347913750368,4.322755467656388,2.593653280593833,2.305469582750074,8.069143539625259,34.4000329847182
