Character_name;Freebase_character_ID;Actor_gender;Wikipedia_movie_ID;Coref_count;Main_actor;Adjectives;Verbs;Attributes
Lee;/m/0gy2wkq;F;781934;12;0;[];['move', 'have', 'turn', 'turn', 'commit', 'find', 'have', 'begin'];['son']
man;;M;781934;3;1;[];['have'];[]
Bessie;/m/0h1n94t;F;781934;1;2;[];[];[]
Hank;/m/04gdrz5;M;781934;1;3;[];[];[]
man;;M;785210;4;0;['young', 'italian'];['live', 'fall', 'move', 'fall'];[]
El Cid Rodrigo de Bivar;/m/0h28wxy;M;787058;27;0;[];['become', 'release', 'kill', 'take', 'win', 'kill', 'show', 'banish', 'relieve', 'refuse', 'repel', 'live', 'obtain', 'intend', 'die'];['act', 'man']
Prince Alfonso;/m/0h66_s5;M;787058;19;1;[];['have', 'have', 'swear', 'come'];[]
Jimena;/m/0gy2yjq;F;787058;7;2;[];['swear', 'plot', 'remove', 'choose'];['bride']
Yusuf;;M;787058;5;3;[];['summon', 'ally'];[]
Count Gormaz;/m/0h66_rq;M;787058;2;4;[];['refuse'];[]
Don Diego;/m/0h66_t3;M;787058;1;5;[];[];[]
Fraser;;M;787058;1;6;[];['desire'];[]
Prince Sancho;/m/0h66_r7;M;787058;1;7;[];['assassinate'];[]
Peter Burton;/m/0gyl34m;M;787273;51;0;['experienced', 'good'];['meet', 'become', 'embarrass', 'plan', 'confess', 'follow', 'hear', 'fall', 'seize', 'threaten', 'hire', 'suspend', 'convince', 'win', 'become', 'attack', 'give', 'drop', 'reveal', 'accept'];['wedding']
Tim Gerrity;/m/0h2d9b6;M;787273;27;1;[];['come', 'plan', 'have', 'speed', 'rise', 'launch', 'run', 'discover', 'work', 'get', 'reveal', 'tell', 'tell', 'bring', 'tell'];[]
Diana;;F;787273;3;2;[];['decide'];['daughter']
John Palmeri;/m/0h2kzbc;M;787273;3;3;[];['have', 'discover', 'bully'];[]
congressman;;M;787273;3;4;[];['carry', 'add', 'plan'];[]
Teddy;;M;787704;16;0;[];['go', 'yell', 'commit', 'believe', 'dig', 'declare', 'worry', 'go', 'put', 'claim', 'exclaim'];['mother']
Mortimer Brewster;/m/0gxrjmz;M;787704;11;1;['first'];['fall', 'visit', 'find', 'call', 'take', 'make', 'come'];['Roosevelt']
Jonathan;;M;787704;9;2;[];['decide', 'pose'];['murderer']
Dr. Einstein;/m/0h5m068;M;787704;2;3;[];[];['surgeon']
actor;;F;787704;2;4;[];[];['veteran']
Elaine;;F;787704;1;5;[];[];[]
Jane Ryan;/m/09rg22l;F;788543;3;0;['uptight'];['have', 'go'];['plan']
Roxy Ryan;/m/09rg22b;F;788543;3;1;[];[];[]
Laurel Hedare;/m/0480l_x;F;789903;14;0;['responsible'];['fall', 'see', 'choose'];['confront', 'one']
Catwoman;/m/027j55;F;789903;6;1;['mysterious'];['seek'];[]
Patience Phillips;/m/0480s71;F;789903;3;2;[];['visit', 'try', 'understand', 'stalk', 'slip', 'scratch'];[]
researcher;;F;789903;2;3;[];['name', 'become'];[]
Beauty;;F;789903;1;4;[];['overhear'];[]
husband;;M;789903;1;5;[];[];[]
Dr. Miranda Grey;/m/03jnv_k;F;793025;70;0;['primary'];['work', 'rush', 'extend', 'lose', 'work', 'work', 'remember', 'learn', 'cope', 'attribute', 'pass', 'hear', 'realize', 'see', 'apologize', 'begin', 'kill', 'realize', 'escape', 'kill', 'go', 'watch', 'hold', 'back', 'know', 'use', 'realize', 'kill', 'claim', 'see', 'yell', 'walk', 'walk'];['home', 'wake', 'horror', 'suspect', 'barn', 'quiz']
Chloe Sava;/m/03jnv_5;F;793025;6;1;[];['claim', 'make', 'warn'];[]
boy;;M;793025;5;2;['young', 'same'];['stand', 'move'];[]
Sheriff Ryan;/m/0djvrrd;M;793025;4;3;[];['believe', 'fit'];['reveal']
attacker;;M;793025;1;4;[];['say', 'go'];[]
officer;;M;793025;1;5;[];['come'];[]
Light;;F;796221;2;0;[];[];[]
Svoboda;;M;796375;4;0;[];[];['patriot']
assassin;;M;796375;1;1;[];[];[]
Mickey Mantle;/m/0h2kp_h;M;798377;14;0;['sober', 'popular'];['start', 'keep', 'go', 'play', 'get'];['superstar', 'shot']
Roger Maris;/m/0h1wxmc;M;798377;14;1;['late'];['think', 'begin', 'feel', 'do', 'get', 'come', 'hit'];['roommate']
owner;;M;798377;2;2;[];['try'];['lineup']
Ralph Houk;/m/0h4yb4b;M;798377;1;3;[];['decide', 'refuse'];['manager']
Ty Cobb;/m/0gz4z91;M;798426;32;0;['great', 'true', 'old'];['want', 'die', 'want', 'run', 'decide', 'want', 'begin', 'expect', 'die', 'die', 'rage', 'die'];['utility', 'piece', 'wart']
Stump;;M;798426;18;1;[];['arrive', 'decide', 'write', 'plan', 'pass', 'gain', 'decide'];[]
player;;M;798426;6;2;['first', 'else'];['induct', 'find', 'retain'];['baseball']
Adam Gibson;/m/0b_l5y1;M;798491;42;0;['real', 'real', 'real', 'real'];['find', 'return', 'fly', 'clone', 'discover', 'devise', 'give', 'hide', 'arrive', 'clone', 'give'];['partner', 'clone']
Michael Drucker;/m/0b_l5x2;M;798491;24;1;['real', 'new'];['hire', 'go', 'kill', 'have', 'pursue', 'jump'];['owner', 'hank morgan']
Dr. Griffin Weir;/m/0b_l5_f;M;798491;7;2;[];['confirm', 'learn'];['scientist']
Hank Morgan;/m/0b_l5xc;M;798491;6;3;['real'];['offer'];['adam gibson', 'clone']
Oliver;;M;798491;5;4;[];['belong', 'die', 'seek'];['dog']
Tripp;/m/0b_l5_r;M;798491;4;5;[];['kill', 'admit', 'commit'];['fundamentalist']
wife;;F;798491;2;6;['adam gibson'];['clone', 'die', 'die'];[]
Clara Gibson;/m/0b_l5zq;F;798491;1;7;[];[];[]
President Russell P. Kramer;/m/0gd0_p4;M;798584;28;0;['incumbent', 'former', 'former', 'former'];['win', 'spend', 'begin', 'arrive', 'leave', 'decide', 'keep', 'prove', 'meet', 'arrive', 'play', 'happen'];['president matt douglas', 'president matt douglas', 'record', 'ex']
President Matt Douglas;/m/0gd0_r9;M;798584;21;1;['incumbent'];['win', 'finish', 'take', 'kidnap', 'go', 'help', 'take', 'muse', 'become', 'run', 'distract'];['president russell p. kramer', 'flight', 'president russell p. kramer', 'president russell p. kramer', 'col. paul tanner', 'trap', 'president russell p. kramer', 'speech', 'president russell p. kramer', 'president russell p. kramer']
President William Haney;/m/0gd0_nx;M;798584;11;2;[];['defeat', 'give', 'deny', 'agree'];['president russell p. kramer']
Col. Paul Tanner;/m/0gd0_px;M;798584;5;3;[];['assassinate', 'catch'];['agent', 'parade']
Charlie Reynolds;/m/0gd0_nd;M;798584;3;4;[];['assassinate'];['contractor', 'president russell p. kramer']
Joe Hollis;/m/0gd0_nn;M;798584;3;5;[];['encourage', 'tell'];['chairman']
Vice President Ted Matthews;/m/0gd0_qd;M;798584;2;6;['idiotic'];['admit', 'explain'];[]
Carl Witnaur;/m/0gd0_pn;M;798584;1;7;[];['meet', 'claim'];[]
Heard;;M;798584;1;8;[];[];[]
Scott;/m/0btyfgc;M;799030;48;0;['former'];['meet', 'leave', 'try', 'agree', 'appear', 'say', 'get', 'stop', 'kill', 'return', 'find', 'find', 'escape', 'show', 'pull', 'enlist', 'flee', 'persuade', 'act', 'slit', 'see', 'smile', 'walk'];['Sergeant']
Judge Laura Burch;/m/08d9h6d;M;799030;41;1;[];['wear', 'use', 'remember', 'capture', 'fight', 'reveal', 'watch'];['rescue', 'captor']
Curtis;/m/0btyfg8;M;799030;11;2;[];['turn', 'find'];[]
man;;M;799030;8;3;['second'];['start', 'name', 'take', 'find', 'rush'];['container']
Laura Newton;/m/04hzqjr;F;799030;7;4;[];['miss', 'fight'];[]
Jackie Black;/m/0btyfg5;F;799030;2;5;[];['demonstrate', 'help', 'turn', 'show', 'ignore'];['instructor']
Stoddard;/m/0btyfq5;M;799030;2;6;[];['shout'];[]
Davio;/m/0btyfpm;M;799030;1;7;[];['agree'];['operative']
London;;M;799030;1;8;[];[];[]
Porky Pig;/m/0dngm;M;801064;22;0;[];['tell', 'spy', 'put', 'try', 'hear', 'instruct', 'whip', 'try', 'make', 'try', 'throw', 'disappoint', 'get', 'try'];['home']
Daffy Duck;/m/0dng4;M;801064;13;1;['same', 'fake', 'crazy', 'real'];['get', 'appear', 'fly', 'escape', 'take', 'yell', 'eat', 'come', 'do', 'take', 'see'];[]
Bass Fish;/m/0hyn2m9;M;801064;11;2;['crazy'];['come', 'look', 'come'];['Daffy Duck']
eel;;M;801064;5;3;['electric'];['stop'];[]
dog;;M;801064;2;4;['bass fish'];['run', 'get', 'flee'];['suit', 'eel']
suit;;M;801064;2;5;[];['shotgun'];['decoy', 'point']
front;;M;801064;1;6;[];[];[]
Mace Windu;/m/0g_rz;M;804933;2;0;[];[];[]
Nick Eliot;/m/0h2mmh1;M;805037;34;0;['handsome'];['make', 'agree', 'continue', 'hear', 'discover', 'go'];['car']
Adrian;;F;805037;16;1;['big', 'diary'];['continue', 'accuse', 'inform', 'know', 'behave', 'attack'];['trouble']
Cheyenne;;F;805037;7;2;['subdue'];['meet', 'inform', 'leave', 'tie'];['friend']
Amy;;F;805037;5;3;[];['survive', 'do', 'make'];[]
girl;;F;805037;3;4;['precocious', 'gifted', 'lonely'];['have', 'kiss', 'lock'];[]
Adrienne Forrester;/m/0gyd1l4;F;805037;1;5;[];[];[]
daughter;;F;805037;1;6;['old'];['help'];['girl']
Jesse;/m/0h28nsm;M;805053;22;0;[];['meet', 'go', 'convince', 'pick', 'have', 'love', 'reveal', 'avoid', 'decide', 'convince', 'reveal', 'break', 'buy', 'want', 'explain', 'marry'];[]
Celine;/m/0bsb43k;F;805053;9;1;[];['return', 'tell', 'reveal'];[]
boyfriend;;M;805053;7;2;['last'];['break', 'love', 'decide', 'buy'];[]
Paris;;M;805053;5;3;['same', 'boring', 'unmotivated'];[];['guy']
Dewey Finn;/m/0bnmntb;M;805097;20;0;[];['impersonate', 'overhear', 'decide', 'turn', 'escape', 'tell', 'persuade', 'meet', 'succeed', 'continue'];['singer', 'project']
White;;M;805097;20;1;[];['get', 'receive', 'realize', 'tell', 'say'];['teacher']
Green;;M;805097;8;2;['competent'];['fall', 'move'];['teacher']
Ned Schneebly;/m/0bnmnzl;M;805097;8;3;[];['receive'];[]
Bowie;;M;805097;2;4;[];[];[]
Rosalie Mullins;/m/0bnmn_6;F;805097;2;5;[];['decide'];['principal', 'parent']
Summer Hathaway;/m/0bnmnyh;F;805097;2;6;[];['enter'];[]
girlfriend;;F;805097;1;7;[];['leave'];[]
Jesse;/m/0bsb43s;M;805120;38;0;[];['meet', 'write', 'do', 'do', 'talk', 'speak', 'believe', 'have', 'return', 'exchange', 'reveal', 'stay', 'admit', 'write', 'confess', 'turn', 'learn', 'play', 'watch', 'smile'];['writer', 'son']
Celine;/m/0bsb43k;F;805120;19;1;[];['smile', 'do', 'become', 'say', 'see', 'reply', 'reach', 'hand', 'arrive', 'play', 'imitate', 'imitate'];['reunion']
Noa;/m/0h1jvf9;M;805354;16;0;[];['wicket w. warrick', 'become', 'rebuild', 'install', 'power', 'kill', 'leave'];[]
Terak;/m/0hq8k0j;M;805354;13;1;[];['know', 'follow', 'transform', 'trace', 'face'];[]
Wicket W. Warrick;/m/01_25v;M;805354;13;2;[];['lead'];[]
Cindel Towani;/m/03dfhj;F;805354;10;3;['free'];['go'];['noa and wicket w. warrick and teek']
Teek;/m/0hq8k0r;F;805354;5;4;[];['take', 'sneak'];['native']
Briqualon;;M;805354;2;5;['kindhearted'];['prove'];['man', 'man']
Charal;/m/0hq8k11;F;805354;2;6;['like'];['take', 'trap'];['sorceress', 'marauder']
Mace Windu;/m/0g_rz;M;805354;2;7;[];[];[]
Endor;;M;805354;1;8;[];[];[]
Taran;/m/057kwd;M;805496;16;0;['assistant'];['follow', 'leave', 'discover', 'resolve', 'agree', 'know', 'trade', 'feel', 'realize'];['keeper']
Gurgi;/m/0bj8_s;M;805496;15;1;[];['arm', 'fight', 'know', 'agree', 'manage', 'stop', 'persuade'];['companion']
King Eidilleg;/m/05v45qj;M;805496;11;2;['elderly'];['hope', 'use', 'use', 'horn'];['king']
someone;;M;805496;5;3;[];['climb', 'kiss'];['will']
Orwen;/m/05v45t5;F;805496;4;4;['benevolent'];['flee', 'fall'];['pig']
Caer Dallben;/m/0b8y__;M;805496;3;5;[];['direct', 'watch', 'watch', 'praise'];[]
Doli;/m/025yr0l;M;805496;2;6;['obnoxious'];['fright', 'abandon'];['hand', 'man']
Fflewddur Fflam;/m/04pc5k;M;805496;1;7;[];['goad', 'go'];[]
Princess Eilonwy;/m/0409mp;F;805496;1;8;[];[];[]
head;;F;805496;1;9;[];['help'];[]
warrior;;M;805496;1;10;['great'];[];[]
Jane;;F;806082;16;0;[];['answer', 'leave', 'have', 'have', 'have', 'hit'];['singer']
Robin;/m/0gxt4h5;F;806082;16;1;[];['put', 'look', 'have', 'find', 'make', 'perform', 'manage', 'die'];['agent']
Holly;/m/0gxp9k5;F;806082;9;2;[];['hit', 'kill', 'decide', 'fall'];['girl']
Nick;;M;806082;7;3;[];['receive', 'stumble'];[]
Officer Abe Lincoln;/m/0ghtvw6;M;806082;1;4;['local'];['name'];['police']
companion;;F;806082;1;5;[];['travel', 'accompany'];[]
singer;;F;806082;1;6;['lesbian'];[];['lounge']
