Character_name;Freebase_character_ID;Actor_gender;Wikipedia_movie_ID;Coref_count;Main_actor;Adjectives;Verbs;Attributes
Christina Walters;/m/04dwxkh;F;261023;39;0;[];['introduce', 'include', 'buy', 'go', 'stop', 'go', 'give', 'get', 'begin', 'return', 'kiss'];['court', 'designer']
Courtney Rockcliffe;/m/0h5t536;F;261023;19;1;[];['attract', 'deny', 'date'];[]
Jane Burns;/m/0h5t53h;F;261023;14;2;[];['feel', 'meet', 'call', 'deal', 'meet', 'return', 'talk', 'encounter'];['roommate', 'guy']
Peter Donahue;/m/0h2kp_r;M;261023;11;3;[];['explain', 'find'];[]
Roger Donahue;/m/0gy2sw5;M;261023;8;4;['obnoxious'];['confront', 'get', 'deny', 'attend', 'invite'];[]
man;;M;261023;5;5;['talkative'];['see', 'call', 'come', 'attempt', 'end', 'start', 'pass'];[]
fiance;;M;261023;4;6;[];['decide'];['peter donahue']
loser;;F;261023;3;7;['neurotic'];['get', 'blee', 'fail', 'give'];[]
boyfriend;;M;261023;2;8;[];[];[]
player;;M;261023;1;9;[];[];['user']
Guy Haines;/m/0ch90_n;M;261107;48;0;['hysterical', 'old'];['want', 'marry', 'meet', 'kill', 'leave', 'leave', 'demonstrate', 'agree', 'beat', 'finish', 'cancel', 'win', 'arrive', 'flee'];['star', 'guy haine', 'guy haine', 'guy haine']
Bruno Antony;/m/0ch9104;M;261107;43;1;[];['tell', 'kill', 'contend', 'pocket', 'make', 'send', 'appear', 'lose', 'strangle', 'reach', 'try', 'tell', 'complete', 'frame', 'overhear', 'have', 'drop', 'wait', 'start'];['stranger', 'murderer']
Anne Morton;/m/0ch910t;F;261107;10;2;[];['put', 'visit', 'believe', 'know', 'report'];['son', 'son']
Miriam Joyce Haines;/m/0ch90_4;F;261107;6;3;[];[];[]
Metcalf;;M;261107;5;4;[];['seek'];['bargain']
sister;;F;261107;2;5;['young'];[];[]
Barbara Morton;/m/0ch90zh;F;261107;1;6;['young'];['rush'];[]
Cody Banks;/m/0bb9f2b;M;261364;30;0;[];['find', 'have', 'befriend', 'go', 'find', 'get', 'blow', 'attempt', 'get', 'give', 'get', 'go', 'manage', 'set', 'defeat'];['natalie connor', 'sharing']
