,top query,top query value,related query,related query value
0,leonardo,100,camila morrone leonardo dicaprio,143700
1,leonardo dicaprio,92,camila morrone,112650
2,dicaprio movies,7,leonardo dicaprio 2021,42850
3,leonardo dicaprio movies,7,once upon a time in hollywood,42700
4,leo,6,leonardo dicaprio 2022,23950
5,leo dicaprio,6,leonardo dicaprio and camila morrone,17850
6,leonardo dicaprio movie,5,leonardo dicaprio 2019,16950
7,brad pitt,5,timothee chalamet,12600
8,titanic,5,leonardo dicaprio 2020,11900
9,titanic leonardo dicaprio,4,dont look up,8200
10,leonardo dicaprio brad pitt,4,timothée chalamet,6550
11,film dicaprio,4,jeff bezos,5500
12,film leonardo dicaprio,3,sharon tate,3000
13,young leonardo dicaprio,3,leonardo dicaprio girlfriend chart,3000
14,kate winslet,3,leonardo dicaprio 2018,2950
15,leonardo dicaprio kate winslet,3,killers of the flower moon,2000
16,dicaprio oscar,3,tom holland,1900
17,johnny depp,2,leonardo dicaprio and gigi hadid,1150
18,dicaprio meme,2,gigi hadid leonardo dicaprio,1150
19,oscar leonardo dicaprio,2,gigi hadid,1150
20,johnny depp leonardo dicaprio,2,leonardo dicaprio girlfriend age,550
21,dicaprio girlfriend,2,monica bellucci,550
22,leonardo dicaprio age,2,leonardo dicaprio jovem,400
23,camila morrone,2,leonardo dicaprio jung,350
24,dicaprio net worth,2,brad pitt age,350
