,item,freebase_ID,review
0,Q382289,/m/0cpllql,18%
1,Q488937,/m/04sy4_,53%
2,Q562118,/m/02pqlg6,0
3,Q567750,/m/0kpgqtn,0
4,Q638883,/m/07szxn,0
5,Q641310,/m/0bk2k2,50%
6,Q657652,/m/03cdy4h,0
7,Q678334,/m/02fpqm,13%
8,Q937486,/m/09gh1j,0%
9,Q1069050,/m/070h4g,40%
10,Q1092313,/m/0d53kr,75%
11,Q1131791,/m/07bzz7,95%
12,Q1150785,/m/0c4bjm,36%
13,Q1515854,/m/0gk_m05,0
14,Q2118347,/m/02pvxj5,0
15,Q2120435,/m/026lrgt,0
16,Q2168840,/m/03whk5d,0
17,Q2301402,/m/0b8lyy,0
18,Q2545667,/m/0cd3jr,0
19,Q2548919,/m/07kwyt,60%
20,Q2613318,/m/03g_cvb,0
21,Q2629768,/m/027kzhz,0
22,Q2822220,/m/0d1rsv,0
23,Q2884193,/m/0jwy_sz,0
24,Q2960903,/m/063_frm,0
25,Q3030131,/m/0407vb6,0
26,Q3648134,/m/07khyjl,0
27,Q3991955,/m/0d0rfr,0
28,Q4355003,/m/02r_d7b,0
29,Q4877922,0,0
30,Q4942754,/m/05syv1d,0
31,Q5977262,0,0
32,Q6378736,/m/0h0vp37,20%
33,Q6505964,/m/051xtx9,40%
34,Q7737199,/m/0jwmwgc,75%
35,Q7754519,/m/0pmfg28,12%
36,Q8054390,/m/04n63qd,0
37,Q11817131,0,0
38,Q12103758,/m/0tkhgv0,78%
39,Q15270466,/m/0qps9zd,0
40,Q17029126,/m/0y4xq9l,0
41,Q18603029,/m/0w17nns,0
42,Q19427412,0,0
43,Q19880932,/m/012zld95,0
44,Q21450480,0,0
45,Q24577527,0,0
46,Q24733929,0,0
47,Q25167044,0,0
48,Q27590807,0,0
49,Q29588607,0,0
50,Q30051739,0,0
51,Q30607974,0,0
52,Q31271384,0,0
53,Q42310256,0,0
54,Q42327319,0,0
55,Q46392313,0,0
56,Q54801207,0,0
57,Q54868312,0,0
58,Q55258951,0,0
59,Q55656162,0,0
60,Q83973481,0,0
61,Q96962498,0,0
62,Q97058898,0,0
63,Q97355563,0,0
64,Q97359775,0,0
65,Q98537283,0,0
66,Q100454167,/m/0crxll3,0
67,Q101245321,0,0
68,Q104409060,0,0
69,Q105273917,0,0
70,Q106580728,0,0
71,Q108040972,0,0
72,Q108549760,0,0
73,Q108885279,0,0
74,Q109284706,0,0
